Age Group,Week,Time Period,Year,Note,State,Avg. Number of Deaths
Under 25 years,30,2015-2019,2018,  ,United States,1249
Under 25 years,31,2015-2019,2018,  ,United States,1145
Under 25 years,32,2015-2019,2018,  ,United States,1212
Under 25 years,33,2015-2019,2018,  ,United States,1095
Under 25 years,34,2015-2019,2018,  ,United States,1154
Under 25 years,35,2015-2019,2018,  ,United States,1183
Under 25 years,36,2015-2019,2018,  ,United States,1192
Under 25 years,37,2015-2019,2018,  ,United States,1175
Under 25 years,38,2015-2019,2018,  ,United States,1215
Under 25 years,39,2015-2019,2018,  ,United States,1185
Under 25 years,40,2015-2019,2018,  ,United States,1180
Under 25 years,41,2015-2019,2018,  ,United States,1191
Under 25 years,42,2015-2019,2018,  ,United States,1179
Under 25 years,43,2015-2019,2018,  ,United States,1170
Under 25 years,44,2015-2019,2018,  ,United States,1169
Under 25 years,45,2015-2019,2018,  ,United States,1175
Under 25 years,46,2015-2019,2018,  ,United States,1129
Under 25 years,47,2015-2019,2018,  ,United States,1115
Under 25 years,48,2015-2019,2018,  ,United States,1066
Under 25 years,49,2015-2019,2018,  ,United States,1075
Under 25 years,50,2015-2019,2018,  ,United States,1126
Under 25 years,51,2015-2019,2018,  ,United States,1067
Under 25 years,52,2015-2019,2018,  ,United States,1104
Under 25 years,1,2015-2019,2017,,United States,1266
Under 25 years,2,2015-2019,2017,  ,United States,1226
Under 25 years,3,2015-2019,2017,  ,United States,1223
Under 25 years,4,2015-2019,2017,  ,United States,1162
Under 25 years,5,2015-2019,2017,  ,United States,1181
Under 25 years,6,2015-2019,2017,  ,United States,1212
Under 25 years,7,2015-2019,2017,  ,United States,1205
Under 25 years,8,2015-2019,2017,  ,United States,1168
Under 25 years,9,2015-2019,2017,  ,United States,1221
Under 25 years,10,2015-2019,2017,  ,United States,1238
Under 25 years,11,2015-2019,2017,  ,United States,1180
Under 25 years,12,2015-2019,2017,  ,United States,1309
Under 25 years,13,2015-2019,2017,  ,United States,1223
Under 25 years,14,2015-2019,2017,  ,United States,1240
Under 25 years,15,2015-2019,2017,  ,United States,1221
Under 25 years,16,2015-2019,2017,  ,United States,1211
Under 25 years,17,2015-2019,2017,  ,United States,1265
Under 25 years,18,2015-2019,2017,  ,United States,1270
Under 25 years,19,2015-2019,2017,  ,United States,1209
Under 25 years,20,2015-2019,2017,  ,United States,1317
Under 25 years,21,2015-2019,2017,  ,United States,1294
Under 25 years,22,2015-2019,2017,  ,United States,1293
Under 25 years,23,2015-2019,2017,  ,United States,1305
Under 25 years,24,2015-2019,2017,  ,United States,1288
Under 25 years,25,2015-2019,2017,  ,United States,1374
Under 25 years,26,2015-2019,2017,  ,United States,1237
Under 25 years,27,2015-2019,2017,  ,United States,1208
Under 25 years,28,2015-2019,2017,  ,United States,1280
Under 25 years,29,2015-2019,2017,  ,United States,1215
Under 25 years,30,2015-2019,2017,  ,United States,1280
Under 25 years,31,2015-2019,2017,  ,United States,1231
Under 25 years,32,2015-2019,2017,  ,United States,1243
Under 25 years,33,2015-2019,2017,  ,United States,1196
Under 25 years,34,2015-2019,2017,  ,United States,1229
Under 25 years,35,2015-2019,2017,  ,United States,1166
Under 25 years,36,2015-2019,2017,  ,United States,1215
Under 25 years,37,2015-2019,2017,  ,United States,1210
Under 25 years,38,2015-2019,2017,  ,United States,1246
Under 25 years,39,2015-2019,2017,  ,United States,1259
Under 25 years,40,2015-2019,2017,  ,United States,1211
Under 25 years,41,2015-2019,2017,  ,United States,1146
Under 25 years,42,2015-2019,2017,  ,United States,1201
Under 25 years,43,2015-2019,2017,  ,United States,1226
Under 25 years,44,2015-2019,2017,  ,United States,1265
Under 25 years,45,2015-2019,2017,  ,United States,1167
Under 25 years,46,2015-2019,2017,  ,United States,1247
Under 25 years,47,2015-2019,2017,  ,United States,1212
Under 25 years,48,2015-2019,2017,  ,United States,1135
Under 25 years,49,2015-2019,2017,  ,United States,1155
Under 25 years,50,2015-2019,2017,  ,United States,1214
Under 25 years,51,2015-2019,2017,  ,United States,1280
Under 25 years,52,2015-2019,2017,  ,United States,1172
Under 25 years,1,2015-2019,2016,,United States,1148
Under 25 years,2,2015-2019,2016,,United States,1179
Under 25 years,3,2015-2019,2016,,United States,1155
Under 25 years,4,2015-2019,2016,,United States,1191
Under 25 years,5,2015-2019,2016,,United States,1198
Under 25 years,6,2015-2019,2016,,United States,1260
Under 25 years,7,2015-2019,2016,,United States,1292
Under 25 years,8,2015-2019,2016,,United States,1219
Under 25 years,9,2015-2019,2016,,United States,1216
Under 25 years,10,2015-2019,2016,,United States,1266
Under 25 years,11,2015-2019,2016,,United States,1270
Under 25 years,12,2015-2019,2016,,United States,1298
Under 25 years,13,2015-2019,2016,,United States,1248
Under 25 years,14,2015-2019,2016,,United States,1274
Under 25 years,15,2015-2019,2016,,United States,1212
Under 25 years,16,2015-2019,2016,,United States,1203
Under 25 years,17,2015-2019,2016,,United States,1229
Under 25 years,18,2015-2019,2016,,United States,1247
Under 25 years,19,2015-2019,2016,,United States,1267
Under 25 years,20,2015-2019,2016,,United States,1236
Under 25 years,21,2015-2019,2016,,United States,1298
Under 25 years,22,2015-2019,2016,,United States,1307
Under 25 years,23,2015-2019,2016,,United States,1314
Under 25 years,24,2015-2019,2016,,United States,1359
Under 25 years,25,2015-2019,2016,,United States,1222
Under 25 years,26,2015-2019,2016,,United States,1282
Under 25 years,27,2015-2019,2016,,United States,1216
Under 25 years,28,2015-2019,2016,,United States,1264
Under 25 years,29,2015-2019,2016,,United States,1334
Under 25 years,30,2015-2019,2016,,United States,1311
Under 25 years,31,2015-2019,2016,,United States,1265
Under 25 years,32,2015-2019,2016,,United States,1318
Under 25 years,33,2015-2019,2016,,United States,1277
Under 25 years,34,2015-2019,2016,,United States,1373
Under 25 years,35,2015-2019,2016,,United States,1200
Under 25 years,36,2015-2019,2016,,United States,1261
Under 25 years,37,2015-2019,2016,,United States,1308
Under 25 years,38,2015-2019,2016,,United States,1252
Under 25 years,39,2015-2019,2016,,United States,1202
Under 25 years,40,2015-2019,2016,,United States,1270
Under 25 years,41,2015-2019,2016,,United States,1222
Under 25 years,42,2015-2019,2016,,United States,1254
Under 25 years,43,2015-2019,2016,,United States,1283
Under 25 years,44,2015-2019,2016,,United States,1233
Under 25 years,45,2015-2019,2016,,United States,1227
Under 25 years,46,2015-2019,2016,,United States,1225
Under 25 years,47,2015-2019,2016,,United States,1297
Under 25 years,48,2015-2019,2016,,United States,1332
Under 25 years,49,2015-2019,2016,,United States,1204
Under 25 years,50,2015-2019,2016,,United States,1248
Under 25 years,51,2015-2019,2016,,United States,1243
Under 25 years,52,2015-2019,2016,,United States,1190
Under 25 years,1,2015-2019,2015,,United States,1179
Under 25 years,2,2015-2019,2015,,United States,1214
Under 25 years,3,2015-2019,2015,,United States,1201
Under 25 years,4,2015-2019,2015,,United States,1188
Under 25 years,5,2015-2019,2015,,United States,1117
Under 25 years,6,2015-2019,2015,,United States,1193
Under 25 years,7,2015-2019,2015,,United States,1198
Under 25 years,8,2015-2019,2015,,United States,1180
Under 25 years,9,2015-2019,2015,,United States,1137
Under 25 years,10,2015-2019,2015,,United States,1143
Under 25 years,11,2015-2019,2015,,United States,1226
Under 25 years,12,2015-2019,2015,,United States,1233
Under 25 years,13,2015-2019,2015,,United States,1200
Under 25 years,14,2015-2019,2015,,United States,1149
Under 25 years,15,2015-2019,2015,,United States,1235
Under 25 years,16,2015-2019,2015,,United States,1262
Under 25 years,17,2015-2019,2015,,United States,1256
Under 25 years,18,2015-2019,2015,,United States,1222
Under 25 years,19,2015-2019,2015,,United States,1258
Under 25 years,20,2015-2019,2015,,United States,1243
Under 25 years,21,2015-2019,2015,,United States,1223
Under 25 years,22,2015-2019,2015,,United States,1213
Under 25 years,23,2015-2019,2015,,United States,1306
Under 25 years,24,2015-2019,2015,,United States,1354
Under 25 years,25,2015-2019,2015,,United States,1287
Under 25 years,26,2015-2019,2015,,United States,1320
Under 25 years,27,2015-2019,2015,,United States,1256
Under 25 years,28,2015-2019,2015,,United States,1273
Under 25 years,29,2015-2019,2015,,United States,1259
Under 25 years,30,2015-2019,2015,,United States,1248
Under 25 years,31,2015-2019,2015,,United States,1311
Under 25 years,32,2015-2019,2015,,United States,1246
Under 25 years,33,2015-2019,2015,,United States,1288
Under 25 years,34,2015-2019,2015,,United States,1235
Under 25 years,35,2015-2019,2015,,United States,1208
Under 25 years,36,2015-2019,2015,,United States,1240
Under 25 years,37,2015-2019,2015,,United States,1139
Under 25 years,38,2015-2019,2015,,United States,1264
Under 25 years,39,2015-2019,2015,,United States,1126
Under 25 years,40,2015-2019,2015,,United States,1228
Under 25 years,41,2015-2019,2015,,United States,1225
Under 25 years,42,2015-2019,2015,,United States,1175
Under 25 years,43,2015-2019,2015,,United States,1167
Under 25 years,44,2015-2019,2015,,United States,1241
Under 25 years,45,2015-2019,2015,,United States,1125
Under 25 years,46,2015-2019,2015,,United States,1145
Under 25 years,47,2015-2019,2015,,United States,1191
Under 25 years,48,2015-2019,2015,,United States,1217
Under 25 years,49,2015-2019,2015,,United States,1225
Under 25 years,50,2015-2019,2015,,United States,1163
Under 25 years,51,2015-2019,2015,,United States,1226
Under 25 years,52,2015-2019,2015,,United States,1160
Under 25 years,1,2020,2020,  ,United States,1190
Under 25 years,2,2020,2020,  ,United States,1166
Under 25 years,3,2020,2020,  ,United States,1182
Under 25 years,4,2020,2020,  ,United States,1158
Under 25 years,5,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1148
Under 25 years,6,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1232
Under 25 years,7,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1159
Under 25 years,8,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1089
Under 25 years,9,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1189
Under 25 years,10,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1120
Under 25 years,11,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1155
Under 25 years,12,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1167
Under 25 years,13,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1132
Under 25 years,14,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1118
Under 25 years,15,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1240
Under 25 years,16,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1109
Under 25 years,17,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1240
Under 25 years,18,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1165
Under 25 years,19,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1258
Under 25 years,20,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1243
Under 25 years,21,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1244
Under 25 years,22,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1231
Under 25 years,23,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1377
Under 25 years,24,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1379
Under 25 years,25,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1319
Under 25 years,26,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1328
Under 25 years,27,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1362
Under 25 years,28,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1462
Under 25 years,29,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1337
Under 25 years,30,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1356
Under 25 years,31,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1276
Under 25 years,32,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1291
Under 25 years,33,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1313
Under 25 years,34,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1284
Under 25 years,35,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1276
Under 25 years,36,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1259
Under 25 years,37,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1332
Under 25 years,38,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1289
Under 25 years,39,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1207
Under 25 years,40,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1280
Under 25 years,41,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1274
Under 25 years,42,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1229
Under 25 years,43,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1132
Under 25 years,44,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1187
Under 25 years,45,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1251
Under 25 years,46,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1271
Under 25 years,47,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1196
Under 25 years,48,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1180
Under 25 years,49,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1158
Under 25 years,50,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1141
Under 25 years,51,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1170
Under 25 years,52,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1126
Under 25 years,53,2020,2020,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1190
Under 25 years,1,2021,2021,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1052
Under 25 years,2,2021,2021,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1126
Under 25 years,3,2021,2021,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1122
Under 25 years,4,2021,2021,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1141
Under 25 years,5,2021,2021,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1082
Under 25 years,6,2021,2021,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,1001
Under 25 years,7,2021,2021,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,980
Under 25 years,8,2021,2021,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,997
Under 25 years,9,2021,2021,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,835
Under 25 years,10,2021,2021,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,800
Under 25 years,11,2021,2021,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",United States,676
25-44 years,1,2015-2019,2019,  ,United States,2796
25-44 years,2,2015-2019,2019,  ,United States,2703
25-44 years,3,2015-2019,2019,  ,United States,2570
25-44 years,4,2015-2019,2019,  ,United States,2595
25-44 years,5,2015-2019,2019,  ,United States,2546
25-44 years,6,2015-2019,2019,  ,United States,2696
25-44 years,7,2015-2019,2019,  ,United States,2632
25-44 years,8,2015-2019,2019,  ,United States,2580
25-44 years,9,2015-2019,2019,  ,United States,2745
25-44 years,10,2015-2019,2019,  ,United States,2797
25-44 years,11,2015-2019,2019,  ,United States,2735
25-44 years,12,2015-2019,2019,  ,United States,2613
25-44 years,13,2015-2019,2019,  ,United States,2679
25-44 years,14,2015-2019,2019,  ,United States,2704
25-44 years,15,2015-2019,2019,  ,United States,2754
25-44 years,16,2015-2019,2019,  ,United States,2682
25-44 years,17,2015-2019,2019,  ,United States,2684
25-44 years,18,2015-2019,2019,  ,United States,2808
25-44 years,19,2015-2019,2019,  ,United States,2627
25-44 years,20,2015-2019,2019,  ,United States,2630
25-44 years,21,2015-2019,2019,  ,United States,2701
25-44 years,22,2015-2019,2019,  ,United States,2802
25-44 years,23,2015-2019,2019,  ,United States,2865
25-44 years,24,2015-2019,2019,  ,United States,2683
25-44 years,25,2015-2019,2019,  ,United States,2786
25-44 years,26,2015-2019,2019,  ,United States,2686
25-44 years,27,2015-2019,2019,  ,United States,2912
25-44 years,28,2015-2019,2019,  ,United States,2751
25-44 years,29,2015-2019,2019,  ,United States,2747
25-44 years,30,2015-2019,2019,  ,United States,2848
25-44 years,31,2015-2019,2019,  ,United States,2770
25-44 years,32,2015-2019,2019,  ,United States,2900
25-44 years,33,2015-2019,2019,  ,United States,2786
25-44 years,34,2015-2019,2019,  ,United States,2784
25-44 years,35,2015-2019,2019,  ,United States,2731
25-44 years,36,2015-2019,2019,  ,United States,2905
25-44 years,37,2015-2019,2019,  ,United States,2639
25-44 years,38,2015-2019,2019,  ,United States,2665
25-44 years,39,2015-2019,2019,  ,United States,2805
25-44 years,40,2015-2019,2019,  ,United States,2802
25-44 years,41,2015-2019,2019,  ,United States,2661
25-44 years,42,2015-2019,2019,  ,United States,2762
25-44 years,43,2015-2019,2019,  ,United States,2714
25-44 years,44,2015-2019,2019,  ,United States,2866
25-44 years,45,2015-2019,2019,  ,United States,2796
25-44 years,46,2015-2019,2019,  ,United States,2732
25-44 years,47,2015-2019,2019,  ,United States,2754
25-44 years,48,2015-2019,2019,  ,United States,2738
25-44 years,49,2015-2019,2019,  ,United States,2842
25-44 years,50,2015-2019,2019,  ,United States,2827
25-44 years,51,2015-2019,2019,  ,United States,2791
25-44 years,52,2015-2019,2019,  ,United States,2926
25-44 years,1,2015-2019,2018,  ,United States,2935
25-44 years,2,2015-2019,2018,  ,United States,2832
25-44 years,3,2015-2019,2018,  ,United States,2671
25-44 years,4,2015-2019,2018,  ,United States,2694
25-44 years,5,2015-2019,2018,  ,United States,2752
25-44 years,6,2015-2019,2018,  ,United States,2711
25-44 years,7,2015-2019,2018,  ,United States,2644
25-44 years,8,2015-2019,2018,  ,United States,2643
25-44 years,9,2015-2019,2018,  ,United States,2754
25-44 years,10,2015-2019,2018,  ,United States,2657
25-44 years,11,2015-2019,2018,  ,United States,2626
25-44 years,12,2015-2019,2018,  ,United States,2577
25-44 years,13,2015-2019,2018,  ,United States,2592
25-44 years,14,2015-2019,2018,  ,United States,2707
25-44 years,15,2015-2019,2018,  ,United States,2630
25-44 years,16,2015-2019,2018,  ,United States,2579
25-44 years,17,2015-2019,2018,  ,United States,2565
25-44 years,18,2015-2019,2018,  ,United States,2669
25-44 years,19,2015-2019,2018,  ,United States,2764
25-44 years,20,2015-2019,2018,  ,United States,2528
25-44 years,21,2015-2019,2018,  ,United States,2630
25-44 years,22,2015-2019,2018,  ,United States,2726
25-44 years,23,2015-2019,2018,  ,United States,2826
25-44 years,24,2015-2019,2018,  ,United States,2719
25-44 years,25,2015-2019,2018,  ,United States,2717
25-44 years,26,2015-2019,2018,  ,United States,2803
25-44 years,27,2015-2019,2018,  ,United States,2843
25-44 years,28,2015-2019,2018,  ,United States,2752
25-44 years,29,2015-2019,2018,  ,United States,2691
25-44 years,30,2015-2019,2018,  ,United States,2747
25-44 years,31,2015-2019,2018,  ,United States,2771
